Boring presentation,Graphics,Readability,Consistency,Images,Bullets,Text size,Text heavy,Tables,Agenda,Infographics,Positioning,Presentation length,General tips,Presentation skills,Powerpoint knowledge,tips and tricks,Explanation of the problem,presentation_type,audience_type,location_restrictions,Main issue,article_id,popularity,submission_date,days_since_first_submission
1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,technical,business,North America,Presentation length,1,1.19,2020-04-18 23:00:00+00:00,5252.9585
1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,formal,creative,North America,General,2,1.05,2024-11-27 18:00:00+00:00,6936.75
1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,creative,academic,Europe,General,3,0.8,2017-01-30 13:00:00+00:00,4078.5417
1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,branding,academic,Middle East,Data visualization,4,1.29,2022-05-22 00:00:00+00:00,6016.0
0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,formal,specialized,Asia,Images,5,2.79,2015-12-29 02:00:00+00:00,3680.0833
1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,creative,academic,North America,Easy on eyes,6,3.48,2020-11-04 15:00:00+00:00,5452.625
0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,formal,kids,Europe,Presentation length,7,2.71,2010-12-14 00:00:00+00:00,1839.0
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,creative,general,Asia,Presentation length,8,0.69,2024-04-15 02:00:00+00:00,6710.0835
0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,creative,specialized,Europe,General,9,1.93,2025-02-14 00:00:00+00:00,7015.0
1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,formal,academic,Asia,General,10,3.33,2015-08-03 09:00:00+00:00,3532.375
1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,formal,general,Asia,Consistency,11,2.51,2016-08-19 11:00:00+00:00,3914.4583
0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,technical,creative,Europe,Presentation length,12,4.65,2009-04-22 10:00:00+00:00,1238.4166
1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,technical,business,North America,Readability,13,4.55,2007-11-20 02:00:00+00:00,719.0833
1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,branding,business,Asia,General,14,1.56,2013-07-30 04:00:00+00:00,2798.1667
0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,technical,creative,North America,General,15,2.54,2014-10-07 12:00:00+00:00,3232.5
0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,branding,general,Middle East,PowerPoint knowledge,16,1.15,2022-09-02 15:00:00+00:00,6119.625
1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,creative,creative,Middle East,Tables,17,4.77,2021-05-13 10:00:00+00:00,5642.4165
1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,formal,general,Europe,Images,18,1.22,2015-12-20 05:00:00+00:00,3671.2083
0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,formal,academic,North America,Consistency,19,2.46,2007-01-07 10:00:00+00:00,402.41666
1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,branding,business,Europe,Data visualization,20,3.77,2015-08-28 14:00:00+00:00,3557.5833
0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,students,general,Europe,Readability,21,2.36,2022-12-28 16:00:00+00:00,6236.6665
1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,formal,academic,Middle East,Images,22,4.52,2015-08-21 14:00:00+00:00,3550.5833
0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,technical,business,Asia,Consistency,23,1.19,2018-09-03 18:00:00+00:00,4659.75
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,students,specialized,Europe,Interesting,24,0.14,2020-11-10 01:00:00+00:00,5458.0415
0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,creative,general,Asia,Presentation length,25,4.15,2021-07-15 04:00:00+00:00,5705.1665
0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,creative,specialized,Europe,Data visualization,26,3.57,2016-03-26 15:00:00+00:00,3768.625
0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,formal,specialized,North America,Data visualization,27,3.93,2011-09-27 02:00:00+00:00,2126.0833
0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,formal,academic,Asia,Consistency,28,3.3,2008-12-26 10:00:00+00:00,1121.4166
1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,formal,kids,Middle East,Text heavy,29,0.56,2019-06-29 11:00:00+00:00,4958.4585
0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,technical,kids,North America,Consistency,30,3.31,2011-09-19 13:00:00+00:00,2118.5417
0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,creative,creative,Europe,Data visualization,31,4.06,2025-05-05 13:00:00+00:00,7095.5415
0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,formal,general,North America,Tables,32,2.14,2006-03-19 20:00:00+00:00,108.833336
0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,formal,specialized,North America,Consistency,33,2.42,2009-10-06 23:00:00+00:00,1405.9584
1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,creative,kids,Middle East,Data visualization,34,4.28,2014-12-17 19:00:00+00:00,3303.7917
0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,creative,specialized,Middle East,Data visualization,35,2.6,2018-11-17 08:00:00+00:00,4734.3335
0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,branding,creative,Europe,General,36,2.26,2021-12-30 11:00:00+00:00,5873.4585
1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,branding,creative,North America,General,37,3.46,2019-12-09 08:00:00+00:00,5121.3335
0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,formal,business,Asia,Readability,38,1.28,2018-06-26 07:00:00+00:00,4590.2915
0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,students,business,Europe,Readability,39,1.39,2017-12-05 12:00:00+00:00,4387.5
1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,branding,general,Europe,Consistency,40,2.34,2006-11-13 09:00:00+00:00,347.375
0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,creative,kids,Middle East,Easy on eyes,41,3.1,2009-05-21 19:00:00+00:00,1267.7916
0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,students,specialized,North America,Presentation skills,42,3.36,2014-02-14 14:00:00+00:00,2997.5833
0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,formal,kids,Middle East,Images,43,4.9,2012-03-26 16:00:00+00:00,2307.6667
1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,formal,kids,Europe,Text heavy,44,3.92,2012-03-03 15:00:00+00:00,2284.625
0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,students,general,Europe,PowerPoint knowledge,45,0.39,2007-11-03 06:00:00+00:00,702.25
1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,creative,general,Europe,General,46,3.41,2012-05-13 23:00:00+00:00,2355.9583
0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,students,kids,Europe,General,47,0.49,2017-06-04 16:00:00+00:00,4203.6665
1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,creative,business,Europe,Text heavy,48,0.68,2016-03-25 15:00:00+00:00,3767.625
0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,formal,specialized,Asia,General,49,0.81,2021-03-22 05:00:00+00:00,5590.2085
1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,formal,business,Europe,PowerPoint knowledge,50,0.28,2016-10-14 22:00:00+00:00,3970.9167
1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,creative,business,Middle East,Easy on eyes,51,2.37,2009-05-14 23:00:00+00:00,1260.9584
0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,formal,academic,Middle East,Easy on eyes,52,2.28,2011-11-28 22:00:00+00:00,2188.9167
0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,technical,business,Asia,Presentation length,53,4.95,2009-11-27 22:00:00+00:00,1457.9166
1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,students,academic,Europe,Consistency,54,4.43,2024-08-03 01:00:00+00:00,6820.0415
0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,creative,kids,North America,Data visualization,55,3.84,2015-02-27 08:00:00+00:00,3375.3333
1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,students,creative,Asia,Text heavy,56,2.08,2015-01-19 02:00:00+00:00,3336.0833
1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,formal,general,Europe,Presentation length,57,2.9,2014-01-13 20:00:00+00:00,2965.8333
1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,branding,business,Middle East,Interesting,58,2.47,2023-07-29 18:00:00+00:00,6449.75
0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,students,business,Asia,PowerPoint knowledge,59,2.45,2023-01-15 02:00:00+00:00,6254.0835
1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,students,specialized,Middle East,Tables,60,1.85,2021-08-27 10:00:00+00:00,5748.4165
1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,formal,creative,Middle East,Data visualization,61,1.09,2019-09-19 05:00:00+00:00,5040.2085
1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,creative,specialized,North America,Data visualization,62,2.14,2012-10-15 16:00:00+00:00,2510.6667
0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,creative,academic,Europe,Images,63,0.96,2024-01-11 19:00:00+00:00,6615.7915
0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,students,academic,North America,Consistency,64,3.86,2017-04-12 17:00:00+00:00,4150.7085
0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,students,academic,Middle East,Data visualization,65,2.64,2008-08-12 03:00:00+00:00,985.125
1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,students,kids,Europe,PowerPoint knowledge,66,2.51,2015-04-06 04:00:00+00:00,3413.1667
1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,formal,creative,North America,Consistency,67,0.28,2025-04-27 23:00:00+00:00,7087.9585
0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,branding,specialized,North America,Easy on eyes,68,1.42,2015-07-06 15:00:00+00:00,3504.625
1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,students,specialized,Middle East,Easy on eyes,69,3.13,2012-06-08 18:00:00+00:00,2381.75
0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,branding,specialized,North America,Presentation length,70,4.5,2025-05-05 07:00:00+00:00,7095.2915
0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,creative,business,Europe,Consistency,71,2.1,2018-06-24 02:00:00+00:00,4588.0835
0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,creative,academic,Middle East,Presentation length,72,2.04,2016-03-10 04:00:00+00:00,3752.1667
0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,creative,creative,Asia,Images,73,0.51,2021-10-05 05:00:00+00:00,5787.2085
1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,students,kids,Middle East,General,74,3.54,2009-02-25 11:00:00+00:00,1182.4584
1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,creative,creative,North America,Data visualization,75,0.24,2014-08-20 20:00:00+00:00,3184.8333
1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,technical,creative,Europe,Text heavy,76,4.43,2022-09-08 04:00:00+00:00,6125.1665
1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,students,academic,North America,PowerPoint knowledge,77,2.95,2008-03-11 08:00:00+00:00,831.3333
1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,creative,general,Middle East,Data visualization,78,2.72,2021-01-01 07:00:00+00:00,5510.2915
1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,technical,business,North America,Interesting,79,0.71,2019-07-09 00:00:00+00:00,4968.0
0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,branding,kids,Asia,Interesting,80,3.54,2013-03-19 05:00:00+00:00,2665.2083
0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,technical,specialized,Europe,Consistency,81,2.3,2008-01-09 02:00:00+00:00,769.0833
1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,technical,general,Asia,Interesting,82,2.53,2020-04-11 07:00:00+00:00,5245.2915
0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,students,academic,Asia,Readability,83,0.94,2020-11-02 22:00:00+00:00,5450.9165
0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,branding,specialized,Asia,General,84,0.36,2022-11-29 19:00:00+00:00,6207.7915
1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,technical,creative,Europe,Presentation length,85,1.74,2024-06-11 23:00:00+00:00,6767.9585
0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,technical,kids,North America,Images,86,0.44,2013-12-18 17:00:00+00:00,2939.7083
1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,students,general,North America,Easy on eyes,87,2.87,2024-02-20 12:00:00+00:00,6655.5
0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,students,creative,North America,Consistency,88,2.58,2011-06-11 23:00:00+00:00,2018.9584
1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,creative,kids,Europe,Easy on eyes,89,2.09,2018-03-27 06:00:00+00:00,4499.25
1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,creative,general,North America,Presentation length,90,3.67,2009-04-21 09:00:00+00:00,1237.375
0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,technical,kids,North America,Bullets,91,0.61,2019-06-11 08:00:00+00:00,4940.3335
1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,technical,kids,Middle East,Consistency,92,2.88,2010-05-20 21:00:00+00:00,1631.875
1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,formal,academic,Middle East,Images,93,0.13,2019-09-02 07:00:00+00:00,5023.2915
0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,technical,academic,North America,Bullets,94,3.85,2012-10-15 12:00:00+00:00,2510.5
1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,branding,kids,North America,Readability,95,3.42,2019-12-31 22:00:00+00:00,5143.9165
0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,branding,specialized,North America,Readability,96,2.45,2024-09-19 10:00:00+00:00,6867.4165
0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,students,creative,Asia,Tables,97,1.32,2018-02-17 12:00:00+00:00,4461.5
1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,students,business,Asia,Images,98,1.01,2008-03-04 14:00:00+00:00,824.5833
0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,creative,specialized,Europe,Consistency,99,0.02,2008-04-25 12:00:00+00:00,876.5
1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,branding,general,Europe,Images,100,3.72,2024-01-18 01:00:00+00:00,6622.0415
